t,signal
0.005,-0.9900249583854167
0.01,-0.9800996674984397
0.015,-0.9702238792062798
0.02,-0.9603973466137157
0.025,-0.9506198240569204
0.03,-0.9408910670973208
0.035,-0.9312108325154864
0.04,-0.9215788783050484
0.045,-0.9119949636666498
0.05,-0.9024588490019255
0.055,-0.8929702959075123
0.06,-0.8835290671690885
0.065,-0.874134926755444
0.07,-0.8647876398125791
0.075,-0.8554869726578336
0.08,-0.846232692774044
0.085,-0.8370245688037313
0.09,-0.8278623705433168
0.095,-0.8187458689373664
0.1,-0.8096748360728656
0.105,-0.8006490451735201
0.11,-0.7916682705940873
0.115,-0.7827322878147349
0.12,-0.7738408734354283
0.125,-0.7649938051703447
0.13,-0.7561908618423167
0.135,-0.7474318233773026
0.14,-0.7387164707988847
0.145,-0.7300445862227944
0.15,-0.7214159528514661
0.155,-0.7128303549686155
0.16,-0.7042875779338488
0.165,-0.695787408177295
0.17,-0.6873296331942675
0.175,-0.6789140415399513
0.18,-0.6705404228241167
0.185,-0.6622085677058596
0.19,-0.6539182678883682
0.195,-0.645669316113715
0.2,-0.6374615061576765
0.205,-0.6292946328245759
0.21,-0.6211684919421547
0.215,-0.6130828803564676
0.22,-0.6050375959268037
0.225,-0.5970324375206334
0.23,-0.5890672050085795
0.235,-0.5811416992594144
0.24,-0.5732557221350816
0.245,-0.5654090764857422
0.25,-0.5576015661448464
0.255,-0.5498329959242287
0.26,-0.5421031716092295
0.265,-0.5344118999538381
0.27,-0.5267589886758623
0.275,-0.5191442464521219
0.28,-0.5115674829136645
0.285,-0.5040285086410072
0.29,-0.4965271351594003
0.295,-0.4890631749341162
0.3,-0.48163644136576056
0.305,-0.47424674878560724
0.31,-0.4668939124509569
0.315,-0.45957774854051825
0.32,-0.4522980741498125
0.325,-0.4450547072866007
0.33,-0.437847466866334
0.335,-0.4306761727076266
0.34,-0.42354064552775095
0.345,-0.4164407069381558
0.35,-0.4093761794400068
0.355,-0.4023468864197486
0.36,-0.3953526521446894
0.365,-0.3883933017586082
0.37,-0.38146866127738277
0.375,-0.3745785575846404
0.38,-0.36772281842743004
0.385,-0.3609012724119156
0.39,-0.3541137489990914
0.395,-0.34736007850051875
0.4,-0.3406400920740833
0.405,-0.3339536217197744
0.41,-0.32730050027548496
0.415,-0.3206805614128323
0.42,-0.3140936396330002
0.425,-0.3075395702626009
0.43,-0.30101818944955905
0.435,-0.2945293341590144
0.44,-0.2880728421692469
0.445,-0.2816485520676204
0.45,-0.27525630324654793
0.455,-0.2688959358994759
0.46,-0.26256729101688947
0.465,-0.2562702103823369
0.47,-0.2500045365684743
0.475,-0.2437701129331301
0.48,-0.23756678361538863
0.485,-0.2313943935316939
0.49,-0.22525278837197227
0.495,-0.21914181459577498
0.5,-0.2130613194284392
0.505,-0.20701115085726918
0.51,-0.20099115762773545
0.515,-0.19500118923969378
0.52,-0.1890410959436225
0.525,-0.18311072873687884
0.53,-0.17720993935997364
0.535,-0.1713385802928652
0.54,-0.1654965047512711
0.545,-0.15968356668299843
0.55,-0.15389962076429275
0.555,-0.1481445223962049
0.56,-0.14241812770097584
0.565,-0.13672029351844006
0.57,-0.13105087740244614
0.575,-0.1254097376172959
0.58,-0.11979673313420103
0.585,-0.114211723627757
0.59,-0.10865456947243524
0.595,-0.10312513173909243
