t,conjunto2
0,0.16028
0.046052,0.037753
0.092103,0.040614
0.13816,0.054328
0.18421,0.12037
0.23026,0.058042
0.27631,0.0063672
0.32236,-0.043304
0.36841,0.059722
0.41447,-0.16835
0.46052,0.0041733
0.50657,0.094324
0.55262,-0.022795
0.59867,0.057682
0.64472,0.017243
0.69078,0.058503
0.73683,-0.049347
0.78288,0.16713
0.82893,0.039661
0.87498,0.014101
0.92103,-0.11906
0.96709,-0.019315
1.0131,-0.14456
1.0592,-0.028859
1.1052,-0.12291
1.1513,-0.0063966
1.1973,0.015221
1.2434,-0.048455
1.2894,0.16329
1.3355,0.13689
1.3816,0.14139
1.4276,0.059073
1.4737,0.078
1.5197,-0.065724
1.5658,0.013181
1.6118,-0.11224
1.6579,0.023985
1.7039,0.11422
1.75,-0.11009
1.796,-0.020888
1.8421,-0.14661
1.8881,0.060628
1.9342,0.12308
1.9802,0.11435
2.0263,-0.10257
2.0723,-0.070903
2.1184,-0.010216
2.1644,-0.039512
2.2105,-0.052755
2.2565,-0.25245
2.3026,0.063668
2.3486,-0.023442
2.3947,0.069336
2.4407,0.026453
2.4868,-0.29785
2.5328,-0.030131
2.5789,0.078608
2.6249,0.10452
2.671,-0.031722
2.7171,0.052052
2.7631,0.023798
2.8092,0.092187
2.8552,0.19636
2.9013,-0.091144
2.9473,0.20999
2.9934,0.021446
3.0394,-0.2315
3.0855,-0.39527
3.1315,-0.45079
3.1776,-0.58404
3.2236,-0.68013
3.2697,-0.75104
3.3157,-0.9002
3.3618,-1.1324
3.4078,-1.1843
3.4539,-1.269
3.4999,-1.3232
3.546,-1.2934
3.592,-1.3539
3.6381,-1.4645
3.6841,-1.5908
3.7302,-1.5683
3.7762,-1.5169
3.8223,-1.6268
3.8683,-1.5038
3.9144,-1.7606
3.9604,-1.6776
4.0065,-1.6177
4.0525,-1.8424
4.0986,-1.7834
4.1447,-1.9188
4.1907,-1.9083
4.2368,-1.9762
4.2828,-1.9397
4.3289,-1.823
4.3749,-1.8961
4.421,-1.8251
4.467,-1.7909
4.5131,-1.8667
4.5591,-1.834
4.6052,-1.8438
4.6512,-1.6907
4.6973,-1.8572
4.7433,-2.088
4.7894,-1.9146
4.8354,-1.8823
4.8815,-1.8593
4.9275,-1.8759
4.9736,-2.0106
5.0196,-1.962
5.0657,-1.9334
5.1117,-1.9491
5.1578,-1.7704
5.2038,-2.1361
5.2499,-1.8922
5.2959,-1.8611
5.342,-2.0406
5.388,-1.9336
5.4341,-1.9935
5.4802,-2.0893
5.5262,-1.9771
5.5723,-1.8215
5.6183,-2.0293
5.6644,-1.9275
5.7104,-2.1033
5.7565,-2.0841
5.8025,-2.1165
5.8486,-2.1368
5.8946,-2.0881
5.9407,-2.0844
5.9867,-2.0391
6.0328,-2.1597
6.0788,-2.0465
6.1249,-2.0736
6.1709,-2.0759
6.217,-2.0285
6.263,-1.8799
6.3091,-1.9978
6.3551,-1.9555
6.4012,-1.8392
6.4472,-1.9295
6.4933,-1.9852
6.5393,-1.8897
6.5854,-1.7755
6.6314,-2.0503
6.6775,-1.9139
6.7235,-2.0802
6.7696,-2.1238
6.8157,-2.0668
6.8617,-2.0065
6.9078,-2.1954
6.9538,-2.1591
6.9999,-2.005
7.0459,-1.9393
7.092,-1.9209
7.138,-1.9558
7.1841,-2.0175
7.2301,-1.9466
7.2762,-1.7503
7.3222,-1.802
7.3683,-2.0056
7.4143,-1.8583
7.4604,-2.0618
7.5064,-1.9647
7.5525,-1.9853
7.5985,-1.9235
7.6446,-2.1213
7.6906,-1.9374
7.7367,-1.983
7.7827,-1.967
7.8288,-2.1027
7.8748,-2.0392
7.9209,-2.1543
7.9669,-2.0733
8.013,-2.0969
8.059,-2.0349
8.1051,-1.983
8.1512,-1.9151
8.1972,-2.1068
8.2433,-1.9706
8.2893,-1.8913
8.3354,-1.9038
8.3814,-2.1594
8.4275,-1.9268
8.4735,-2.0168
8.5196,-1.8618
8.5656,-1.907
8.6117,-2.0349
8.6577,-1.973
8.7038,-1.9489
8.7498,-2.2461
8.7959,-2.0614
8.8419,-2.0395
8.888,-2.1145
8.934,-2.2232
8.9801,-1.916
9.0261,-2.0614
9.0722,-1.8828
9.1182,-2.0958
9.1643,-1.9047
9.2103,-1.9296
9.2564,-1.944
9.3024,-2.1038
9.3485,-2.0178
9.3945,-2.047
9.4406,-2.096
9.4867,-2.0445
9.5327,-2.1621
9.5788,-2.0157
9.6248,-2.0197
9.6709,-2.0831
9.7169,-1.9363
9.763,-2.1049
9.809,-2.0248
9.8551,-1.9475
9.9011,-1.9787
9.9472,-2.2397
9.9932,-2.0772
10.039,-2.0406
10.085,-2.0553
10.131,-2.1353
10.177,-2.0043
10.223,-2.0168
10.27,-1.872
10.316,-1.9888
10.362,-1.9295
10.408,-2.013
10.454,-2.1825
10.5,-2.1473
10.546,-2.0751
10.592,-2.0434
10.638,-1.9424
10.684,-2.0834
10.73,-2.0629
10.776,-1.9744
10.822,-2.0562
10.868,-2.1228
10.914,-2.0554
10.96,-2.068
11.006,-1.9309
11.052,-1.9778
11.098,-1.9454
11.145,-2.046
11.191,-1.7883
11.237,-1.9891
11.283,-2.092
11.329,-2.1324
11.375,-1.9901
11.421,-2.0407
11.467,-2.1352
11.513,-2.047
11.559,-2.1628
11.605,-1.9318
11.651,-1.8056
11.697,-1.926
11.743,-2.0323
11.789,-1.864
11.835,-1.9709
11.881,-2.2219
11.927,-2.0145
11.973,-1.9921
