t,signal
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0
0.21,0
0.215,0
0.22,0
0.225,0
0.23,0
0.235,0
0.24,0
0.245,0
0.25,0
0.255,0
0.26,0
0.265,0
0.27,0
0.275,0
0.28,0
0.285,0
0.29,0
0.295,0
0.3,0
0.305,0.0011229642435882467
0.31,0.0022418701657649447
0.315,0.0033567374796845077
0.32,0.004467585800293441
0.325,0.005574434644820196
0.33,0.006677303433262575
0.335,0.0077762114888727165
0.34,0.00887117803863965
0.345,0.009962222213769452
0.35,0.011049363050162998
0.355,0.012132619488891352
0.36,0.013212010376668753
0.365,0.01428755446632327
0.37,0.015359270417265104
0.375,0.016427176795952535
0.38,0.01749129207635557
0.385,0.018551634640417272
0.39,0.019608222778512777
0.395,0.020661074689906033
0.4,0.021710208483204242
0.405,0.022755642176810087
0.41,0.023797393699371616
0.415,0.024835480890229977
0.42,0.025869921499864855
0.425,0.026900733190337707
0.43,0.02792793353573279
0.435,0.028951540022595992
0.44,0.029971570050371467
0.445,0.030988040931836082
0.45,0.032000969893531725
0.455,0.03301037407619543
0.46,0.03401627053518737
0.465,0.03501867624091671
0.47,0.036017608079265365
0.475,0.03701308285200956
0.48,0.038005117277239424
0.485,0.03899372798977632
0.49,0.03997893154158829
0.495,0.04096074440220323
0.5,0.04193918295912014
0.505,0.04291426351821831
0.51,0.04388600230416438
0.515,0.044854415460817455
0.52,0.04581951905163218
0.525,0.04678132906005976
0.53,0.04773986138994706
0.535,0.048695131865933626
0.54,0.0496471562338468
0.545,0.05059595016109482
0.55,0.05154152923705796
0.555,0.05248390897347777
0.56,0.05342310480484431
0.565,0.054359132088781445
0.57,0.05529200610643033
0.575,0.05622174206283083
0.58,0.05714835508730118
0.585,0.05807186023381561
0.59,0.05899227248138021
0.595,0.05990960673440688
0.6,0.06082387782308534
0.605,0.06173510050375342
0.61,0.0626432894592654
0.615,0.06354845929935851
0.62,0.06445062456101776
0.625,0.06534979970883868
0.63,0.06624599913538846
0.635,0.06713923716156527
0.64,0.06802952803695564
0.645,0.06891688594019033
0.65,0.06980132497929803
0.655,0.07068285919205776
0.66,0.07156150254634908
0.665,0.07243726894050088
0.67,0.07331017220363824
0.675,0.07418022609602762
0.68,0.07504744430942034
0.685,0.07591184046739434
0.69,0.07677342812569422
0.695,0.0776322207725696
0.7,0.07848823182911176
0.705,0.07934147464958867
0.71,0.08019196252177829
0.715,0.08103970866730019
0.72,0.0818847262419456
0.725,0.08272702833600572
0.73,0.08356662797459848
0.735,0.08440353811799357
0.74,0.08523777166193598
0.745,0.08606934143796778
0.75,0.08689826021374837
0.755,0.08772454069337321
0.76,0.08854819551769076
0.765,0.08936923726461807
0.77,0.09018767844945459
0.775,0.09100353152519458
0.78,0.09181680888283787
0.785,0.09262752285169905
0.79,0.0934356856997152
0.795,0.09424130963375207
0.8,0.09504440679990864
0.805,0.09584498928382024
0.81,0.0966430691109602
0.815,0.0974386582469399
0.82,0.09823176859780737
0.825,0.09902241201034437
0.83,0.09981060027236208
0.835,0.10059634511299514
0.84,0.10137965820299448
0.845,0.10216055115501839
0.85,0.1029390355239224
0.855,0.10371512280704755
0.86,0.10448882444450727
0.865,0.10526015181947289
0.87,0.1060291162584576
0.875,0.10679572903159909
0.88,0.10756000135294083
0.885,0.10832194438071173
0.89,0.10908156921760463
0.895,0.10983888691105335
0.9,0.11059390845350828
0.905,0.11134664478271057
0.91,0.11209710678196522
0.915,0.11284530528041238
0.92,0.11359125105329773
0.925,0.11433495482224115
0.93,0.11507642725550433
0.935,0.11581567896825687
0.94,0.11655272052284106
0.945,0.11728756242903551
0.95,0.11802021514431722
0.955,0.11875068907412256
0.96,0.11947899457210678
0.965,0.12020514194040233
0.97,0.12092914142987589
0.975,0.12165100324038401
0.98,0.12237073752102766
0.985,0.12308835437040529
0.99,0.12380386383686484
0.995,0.12451727591875435
1,0.12522860056467133
1.005,0.12593784767371097
1.01,0.12664502709571307
1.015,0.12735014863150773
1.02,0.12805322203315972
1.025,0.1287542570042119
1.03,0.1294532631999271
1.035,0.13015025022752896
1.04,0.13084522764644171
1.045,0.1315382049685284
1.05,0.13222919165832825
1.055,0.1329181971332927
1.06,0.13360523076402026
1.065,0.13429030187449023
1.07,0.13497341974229526
1.075,0.1356545935988727
1.08,0.13633383262973486
1.085,0.13701114597469805
1.09,0.13768654272811057
1.095,0.13836003193907948
1.1,0.13903162261169622
1.105,0.1397013237052613
1.11,0.1403691441345076
1.115,0.14103509276982265
1.12,0.14169917843746993
1.125,0.14236140991980897
1.13,0.14302179595551423
1.135,0.14368034523979312
1.14,0.14433706642460278
1.145,0.14499196811886586
1.15,0.1456450588886851
1.155,0.14629634725755694
1.16,0.14694584170658415
1.165,0.14759355067468716
1.17,0.14823948255881458
1.175,0.14888364571415244
1.1800001,0.14952604845433265
1.185,0.15016669905164023
1.19,0.15080560573721946
1.1949999,0.1514427767012792
1.2,0.15207822009329708
1.205,0.15271194402222263
1.21,0.15334395655667946
1.215,0.15397426572516643
1.22,0.15460287951625773
1.225,0.15522980587880214
1.23,0.15585505272212116
1.235,0.156478627916206
1.24,0.15710053929191412
1.245,0.15772079464116404
1.25,0.15833940171712993
1.255,0.1589563682344346
1.26,0.15957170186934191
1.265,0.16018541025994823
1.27,0.16079750100637258
1.275,0.16140798167094625
1.28,0.16201685977840125
1.285,0.1626241428160578
1.29,0.1632298382340111
1.295,0.16383395344531684
1.3,0.16443649582617603
1.3050001,0.1650374727161189
1.31,0.1656368914181877
1.315,0.16623475919911881
1.3199999,0.16683108328952384
1.325,0.1674258708840697
1.33,0.16801912914165812
1.335,0.16861086518560378
1.34,0.16920108610381213
1.345,0.1697897989489557
1.35,0.1703770107386502
1.355,0.17096272845562901
1.36,0.1715469590479175
1.365,0.172129709429006
1.37,0.17271098647802208
1.375,0.173290797039902
1.38,0.17386914792556124
1.385,0.17444604591206422
1.39,0.17502149774279316
1.395,0.175595510127616
1.4,0.1761680897430538
1.405,0.17673924323244677
1.41,0.1773089772061201
1.415,0.1778772982415484
1.42,0.17844421288351972
1.425,0.1790097276442985
1.4300001,0.17957384900378792
1.435,0.18013658340969116
1.44,0.1806979372776722
1.4449999,0.1812579169915155
1.45,0.18181652890328512
1.455,0.18237377933348287
1.46,0.18292967457120585
1.465,0.18348422087430294
1.47,0.18403742446953092
1.475,0.18458929155270928
1.48,0.18513982828887476
1.485,0.18568904081243484
1.49,0.18623693522732046
1.495,0.18678351760713813
1.5,0.18732879399532118
1.505,0.18787277040528025
1.51,0.18841545282055305
1.515,0.18895684719495334
1.52,0.18949695945271933
1.525,0.1900357954886611
1.53,0.19057336116830734
1.5350001,0.19110966232805163
1.54,0.19164470477529752
1.5450001,0.19217849428860329
1.55,0.19271103661782585
1.5550001,0.1932423374842638
1.56,0.19377240258080006
1.565,0.19430123757204337
1.5699999,0.19482884809446957
1.575,0.19535523975656177
1.5799999,0.1958804181389501
1.585,0.1964043887945506
1.5899999,0.19692715724870344
1.595,0.19744872899931046
1.6,0.19796910951697216
1.605,0.1984883042451238
1.61,0.19900631860017085
1.615,0.19952315797162395
1.62,0.200038827722233
1.625,0.20055333318812066
1.63,0.2010666796789151
1.635,0.20157887247788236
1.64,0.20208991684205768
1.645,0.2025998180023764
1.65,0.2031085811638041
1.655,0.20361621150546624
1.6600001,0.20412271418077704
1.665,0.20462809431756765
1.6700001,0.20513235701821392
1.675,0.20563550735976321
1.6800001,0.20613755039406081
1.685,0.2066384911478757
1.69,0.20713833462302558
1.6949999,0.2076370857965014
1.7,0.20813474962059103
1.7049999,0.20863133102300277
1.71,0.20912683490698772
1.7149999,0.20962126615146184
1.72,0.21011462961112745
1.725,0.2106069301165939
1.73,0.21109817247449772
1.735,0.21158836146762242
1.74,0.2120775018550172
1.745,0.2125655983721155
1.75,0.21305265573085286
1.755,0.21353867861978393
1.76,0.21402367170419928
1.765,0.21450763962624145
1.77,0.2149905870050203
1.775,0.21547251843672793
1.78,0.21595343849475318
1.7850001,0.21643335172979508
1.79,0.21691226266997637
1.7950001,0.2173901758209558
1.8,0.21786709566604037
1.8050001,0.21834302666629687
1.81,0.21881797326066263
1.815,0.21929193986605616
1.8199999,0.21976493087748675
1.825,0.22023695066816384
1.8299999,0.22070800358960596
1.835,0.22117809397174854
1.8399999,0.22164722612305196
1.845,0.22211540433060842
1.85,0.22258263286024874
1.855,0.22304891595664816
1.86,0.22351425784343212
1.865,0.2239786627232811
1.87,0.22444213477803523
1.875,0.22490467816879814
1.88,0.2253662970360404
1.885,0.22582699549970264
1.89,0.22628677765929764
1.895,0.2267456475940125
1.9,0.2272036093628099
1.905,0.22766066700452903
1.9100001,0.22811682453798598
1.915,0.22857208596207362
1.9200001,0.22902645525586093
1.925,0.22947993637869202
1.9300001,0.22993253327028434
1.935,0.2303842498508267
1.94,0.23083509002107677
1.9449999,0.23128505766245783
1.95,0.23173415663715527
1.9549999,0.2321823907882127
1.96,0.23262976393962725
1.9649999,0.23307627989644464
1.97,0.23352194244485372
1.975,0.23396675535228065
1.98,0.23441072236748237
1.985,0.23485384722063962
1.99,0.23529613362344992
1.995,0.23573758526921948
2,0.2361782058329551
2.005,0.23661799897145538
2.01,0.23705696832340165
2.015,0.23749511750944818
2.02,0.23793245013231232
2.025,0.23836896977686378
2.03,0.23880468001021374
2.035,0.23923958438180348
2.04,0.23967368642349252
2.045,0.2401069896496462
2.05,0.24053949755722306
2.055,0.24097121362586174
2.06,0.24140214131796722
2.065,0.24183228407879687
2.07,0.24226164533654596
2.075,0.24269022850243285
2.08,0.24311803697078357
2.085,0.2435450741191162
2.09,0.2439713433082246
2.095,0.24439684788226188
2.1,0.2448215911688235
2.105,0.2452455764790297
2.11,0.24566880710760788
2.115,0.24609128633297417
2.12,0.24651301741731496
2.125,0.2469340036066678
2.13,0.24735424813100196
2.135,0.24777375420429854
2.14,0.2481925250246303
2.145,0.24861056377424098
2.15,0.24902787361962436
2.155,0.2494444577116026
2.16,0.2498603191854046
2.165,0.25027546116074384
2.17,0.2506898867418956
2.175,0.251103599017774
2.18,0.2515166010620088
2.185,0.2519288959330214
2.19,0.252340486674101
2.195,0.2527513763134799
2.2,0.25316156786440835
2.205,0.2535710643252299
2.21,0.2539798686794554
2.215,0.25438798389583683
2.22,0.25479541292844127
2.225,0.255202158716724
2.23,0.25560822418560136
2.235,0.25601361224552327
2.24,0.25641832579254553
2.245,0.25682236770840144
2.25,0.2572257408605734
2.255,0.257628448102364
2.26,0.25803049227296654
2.2649999,0.25843187619753566
2.27,0.25883260268725733
2.275,0.2592326745394184
2.28,0.25963209453747604
2.285,0.26003086545112675
2.29,0.2604289900363749
2.295,0.26082647103560114
2.3,0.2612233111776303
2.305,0.2616195131777992
2.31,0.2620150797380234
2.315,0.2624100135468649
2.32,0.262804317279598
2.325,0.26319799359827645
2.33,0.2635910451517984
2.335,0.2639834745759729
2.34,0.26437528449358455
2.345,0.2647664775144591
2.35,0.2651570562355273
2.355,0.2655470232408902
2.3600001,0.26593638110188217
2.365,0.2663251323771353
2.37,0.2667132796126424
2.375,0.2671008253418202
2.38,0.2674877720855721
2.385,0.2678741223523505
2.3899999,0.2682598786382188
2.395,0.26864504342691364
2.4,0.2690296191899059
2.405,0.2694136083864621
2.41,0.2697970134637054
2.415,0.2701798368566759
2.42,0.27056208098839124
